FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,15674,0,0,0,0,0,0,0,0.5,0,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,11749,0,0,0,0,46,0,0,0,10,West Ham,,,,,0.0,3.0
Philip,Billing,MID,HUD,4400000,1,22,0.594594594594595,1.35135135135135e-07,5e-06,0,38693,3,11,0,0,0,0,0,5.0,0,-1,0,22,1,0,0,0,0,0,3,0,0,0.2,32233,0,0,0,0,755,0,0,0,98,Arsenal,,,,,0.3,19.3
Daley,Blind,DEF,MUN,5100000,7,28,0.756756756756757,1.48383677795443e-07,5.49019607843137e-06,0,189836,0,0,0,0,0,0,0,5.5,0,-4,0,28,4,0,0,0,1,0,4,0,0,0.9,138970,0,0,0,0,360,0,0,0,119,Watford,,,,,0.5,17.3
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,998,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,549,0,0,0,0,17,0,0,0,1,Newcastle,,,,,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6612,0,1,0,0,0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,1888,0,0,0,0,71,0,0,0,5,Swansea,,,,,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,1,35,0.9459459459459459,1.47804054054054e-07,5.46875e-06,0,18921,0,14,0,0,0,1,0,5.5,0,-1,0,35,1,0,0,0,0,0,3,0,1,0.2,19075,0,0,0,0,848,0,0,0,80,West Ham,,,,,0.5,40.8
Gaetan,Bong,DEF,BHA,4400000,0,63,2.5,5.68181818181818e-07,1.43181818181818e-05,0,14807,2,36,0,0,0,0,0,14.3,0,-1,0,63,1,0,0,0,5,0,6,0,0,0.2,17582,1,0,0,1,2237,0,0,0,369,Liverpool,,,,,1.7,52.1
Wilfried,Bony,FWD,SWA,5600000,0,33,0.8918918918918921,1.59266409266409e-07,5.89285714285714e-06,0,88471,2,8,0,0,0,2,0,5.9,0,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87941,0,0,0,0,701,0,0,0,103,Stoke,,,,,0.5,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,160441,0,0,0,0,0,0,0,0.0,0,-4,0,0,4,0,0,0,0,0,0,0,0,1.3,10441,0,0,0,0,0,0,0,0,0,Burnley,,,,,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.4864864864864902,2.60787102892366e-07,9.64912280701754e-06,0,23999,1,24,0,0,0,2,0,9.6,0,-3,0,55,3,0,0,0,2,0,1,0,2,0.2,18058,0,0,0,0,1206,0,0,0,215,Man City,,,,,0.7,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,205918,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,3.2,114961,0,0,0,0,0,0,0,0,0,Burnley,,,,,0.0,0.0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.981132075471699e-07,1.05660377358491e-05,0,213043,3,12,0,0,0,1,0,10.6,0,-2,0,56,2,0,0,0,7,0,6,0,4,0.4,199096,0,0,0,1,1277,0,0,0,216,Bournemouth,,,,,0.0,97.3
Claudio,Bravo,GLK,MCI,4500000,7,10,0.27027027027027,6.006006006006009e-08,2.22222222222222e-06,0,40729,0,1,0,4,0,0,0,2.2,0,-5,0,10,5,0,0,0,1,0,1,0,0,0.5,9802,0,0,0,0,224,0,0,0,42,Southampton,,,,,0.1,4.5
Miguel,Britos,DEF,WAT,4300000,0,22,0.594594594594595,1.3827781269641699e-07,5.11627906976744e-06,0,146004,3,16,0,0,0,1,0,5.1,0,-2,0,22,2,0,0,0,0,0,2,0,0,0.5,115478,0,0,0,0,795,0,0,1,149,Man Utd,,,,,0.3,27.3
Leon,Britton,MID,SWA,4400000,1,10,0.27027027027027,6.142506142506139e-08,2.2727272727272702e-06,0,8966,1,1,0,0,0,0,0,2.3,0,-1,0,10,1,0,0,0,0,0,3,0,0,0.1,4268,0,0,0,0,301,0,0,0,38,Stoke,,,,,0.1,3.0
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.3076923076923105e-07,3.07692307692308e-06,0,4031,0,8,0,0,0,0,0,3.1,0,-3,0,16,3,0,0,0,0,0,0,0,0,0.0,774,0,0,0,0,302,0,0,0,60,Liverpool,,,,,0.0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,203,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,387,0,0,0,0,0,0,0,0,0,Everton,,,,,0.0,0.0
,Bruno,DEF,BHA,4500000,0,84,3.4,7.555555555555559e-07,1.86666666666667e-05,0,109790,3,23,0,0,0,0,0,18.7,0,0,0,84,0,0,0,0,8,0,10,0,0,0.8,137877,0,0,0,0,2014,0,0,0,423,Liverpool,,,,,2.8,57.2
Chris,Brunt,MID,WBA,5000000,1,81,3.1,6.2e-07,1.62e-05,0,140787,5,23,0,0,0,0,0,16.2,0,-5,0,81,5,0,0,0,6,0,9,0,8,0.5,128820,0,0,0,0,1917,0,0,0,380,Crystal Palace,,,,,2.0,122.9
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,634,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,112,0,0,0,0,0,0,0,0,0,Arsenal,,,,,0.0,0.0
