FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Collin,Quaner,FWD,HUD,4600000,1,32,1.18518518518519,2.57648953301127e-07,6.95652173913044e-06,0,491937,2,17,0,0,0,0,0,7.0,19968,1,0,32,-1,0.3,0,1.3,0,0,2,0,3,5.2,536548,0,0,0,0,878,11205,0,0,127,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0.6,0.6,0.8,0.9,0.6,0.6,0.8,0.6,0.9,0.6,0.9,56.6
Domingos,Quina,MID,WHU,4400000,0,0,0.0,0.0,0.0,0,954,0,0,0,0,0,0,0,0.0,78,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1648,0,0,0,0,0,202,0,0,0,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erdal,Rakip,MID,CRY,5000000,0,0,0.0,0.0,0.0,0,79,0,0,0,0,0,0,0,0.0,18,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,148,0,0,0,0,0,18,0,0,0,Tottenham,Man Utd,Chelsea,Huddersfield,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Ramsdale,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,8222,0,0,0,0,0,0,0,0.0,260,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,16457,0,0,0,0,0,14,0,0,0,Newcastle,Leicester,Tottenham,West Brom,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Ramsey,MID,ARS,7000000,0,104,5.8,8.285714285714291e-07,1.4857142857142902e-05,0,926736,0,18,0,0,0,6,0,14.9,75508,0,0,104,0,1.0,0,7.3,10,0,7,0,8,3.8,995813,0,0,0,2,1376,5533,0,0,389,Man City,Brighton,Watford,Stoke,Southampton,0.0,4.7,7.6,0.0,8.1,7.7,5.6,8.5,3.4,7.9,5.2,143.1
Darren,Randolph,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,970,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,136,0,0,0,0,0,2,0,0,0,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel,Rangel,DEF,SWA,3900000,0,3,0.111111111111111,2.84900284900285e-08,7.69230769230769e-07,0,726466,0,1,0,0,0,0,0,0.8,14646,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,8.4,286027,0,0,0,0,64,1288,0,0,12,Brighton,West Ham,Huddersfield,Man Utd,West Brom,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
Marcus,Rashford,FWD,MUN,7400000,0,74,3.0,4.05405405405405e-07,1e-05,0,1086304,2,12,0,0,0,4,0,10.0,26426,-1,0,74,1,0.0,0,0.3,6,0,8,0,5,5.3,1007119,0,0,0,0,1321,1452,0,0,270,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,2.5,2.3,2.9,0.0,3.3,2.1,3.8,2.5,3.6,2.2,3.5,131.1
Nathan,Redmond,MID,SOU,5900000,0,48,2.2,3.7288135593220294e-07,8.13559322033898e-06,0,373272,3,22,0,0,0,0,0,8.1,1350,-6,0,48,6,0.1,0,0.3,2,0,4,0,3,1.6,83465,0,0,0,0,1371,219,0,0,205,Burnley,Stoke,Newcastle,West Ham,Arsenal,1.5,1.7,1.7,0.0,1.5,1.2,1.4,1.4,1.8,1.7,1.1,98.0
Winston,Reid,DEF,WHU,4800000,0,41,2.6,5.41666666666667e-07,8.54166666666667e-06,0,75334,5,26,0,0,0,0,0,8.5,581,-2,0,41,2,0.0,0,0.0,3,0,5,0,0,0.6,21919,0,0,0,0,1426,13,0,0,263,Liverpool,Swansea,Burnley,Southampton,Chelsea,2.0,1.7,2.9,0.0,2.8,2.0,3.0,1.8,2.2,1.6,2.4,43.1
