FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Cesc,Fabregas,MID,CHE,6800000,2,64,2.6,3.82352941176471e-07,9.41176470588235e-06,0,699136,4,19,0,0,0,1,0,9.4,1479,-2,0,64,2,0.3,0,2.0,4,0,8,0,4,3.0,406289,0,0,0,1,1683,844,0,1,397,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,2.3,0.0,2.0,2.7,1.9,2.9,1.8,1.8,2.0,189.2
Adam,Federici,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,140222,0,0,0,0,0,0,0,0.0,640,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.3,18834,0,0,0,0,0,298,0,0,0,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0.0,0.0,0.0,0,1430,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,90,0,0,0,0,0,0,0,0,0,Burnley,Southampton,Chelsea,Stoke,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane,Fellaini,MID,MUN,4700000,0,35,1.20689655172414,2.56786500366838e-07,7.4468085106383e-06,0,206215,1,0,0,0,0,3,0,7.4,218,-3,0,35,3,0.0,0,0.0,3,0,3,0,0,0.5,191077,0,0,0,1,408,81,0,0,120,Liverpool,Swansea,Man City,West Brom,Bournemouth,0.6,0.0,0.8,0.6,0.9,0.6,0.8,0.6,0.7,44.2
Leroy,Fer,MID,SWA,5200000,0,41,2.0,3.84615384615385e-07,7.88461538461538e-06,0,39741,5,26,0,0,0,1,0,7.9,86,-3,0,41,3,0.0,0,0.0,0,0,4,0,1,0.2,17256,0,0,0,0,1394,13,0,0,201,Huddersfield,Man Utd,West Brom,Everton,Man City,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.3,1.6,56.0
Nathan,Ferguson,DEF,WBA,4000000,0,0,0.0,0.0,0.0,0,2324,0,0,0,0,0,0,0,0.0,172,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,5652,0,0,0,0,0,284,0,0,0,Leicester,Bournemouth,Burnley,Swansea,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edimilson,Fernandes,MID,WHU,4300000,0,9,0.31034482758620696,7.21732157177225e-08,2.09302325581395e-06,0,16923,1,13,0,0,0,0,0,2.1,65,-2,0,9,2,0.0,0,0.0,0,0,0,0,0,0.2,6467,0,0,0,0,412,14,0,0,44,Burnley,Southampton,Chelsea,Stoke,Arsenal,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,10.6
Federico,Fernandez,DEF,SWA,4500000,2,71,3.1,6.88888888888889e-07,1.5777777777777803e-05,0,227657,4,34,0,0,0,1,0,15.8,8342,0,0,71,0,0.6,0,2.7,10,0,6,0,1,4.3,369418,1,0,0,2,2070,3912,0,0,403,Huddersfield,Man Utd,West Brom,Everton,Man City,2.4,0.0,2.2,2.4,3.1,2.3,3.6,2.3,3.8,73.8
,Fernandinho,MID,MCI,5000000,0,90,3.3,6.6e-07,1.8e-05,0,693827,6,18,0,0,0,3,0,18.0,32244,0,1,90,0,0.1,0,0.7,5,0,12,0,4,4.7,795375,0,0,0,1,2250,948,-1,0,459,Stoke,Everton,Man Utd,Tottenham,Swansea,0.0,0.0,3.2,2.8,2.1,3.4,2.7,3.9,2.9,124.5
,Fernando,MID,MCI,4500000,0,0,0.0,0.0,0.0,0,4493,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,582,0,0,0,0,0,5,0,0,0,Stoke,Everton,Man Utd,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Field,MID,WBA,4400000,1,21,0.7241379310344829,1.64576802507837e-07,4.77272727272727e-06,0,21589,3,3,0,0,0,1,0,4.7,60,-1,1,21,1,0.1,0,0.3,2,0,4,0,0,0.1,21733,0,0,0,0,495,18,-1,0,64,Leicester,Bournemouth,Burnley,Swansea,Man Utd,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,21.7
Roberto,Firmino,FWD,LIV,9400000,5,154,5.5,5.851063829787229e-07,1.63829787234043e-05,0,2663952,1,26,0,0,0,13,0,16.4,64341,9,0,154,-9,0.9,0,8.3,26,0,12,0,8,41.5,3750273,0,0,0,3,2109,36020,0,0,633,Man Utd,Watford,Crystal Palace,Everton,Bournemouth,5.2,7.5,6.5,6.2,7.8,6.3,7.9,4.8,8.0,252.3
Jon,Flanagan,DEF,LIV,4400000,0,0,0.0,0.0,0.0,0,1472,0,0,0,0,0,0,0,0.0,18,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1170,0,0,0,0,0,0,0,0,0,Man Utd,Watford,Crystal Palace,Everton,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0.0,0.0,0.0,0,35434,0,0,0,0,0,0,0,0.0,188,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,7136,0,0,0,0,0,56,0,0,0,Burnley,Southampton,Chelsea,Stoke,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
