FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Patrick,Bamford,FWD,MID,4900000,0,9,0.103448275862069,2.11118930330753e-08,1.8367346938775502e-06,0,5657,0,2,0,0,0,0,0,1.8,149,-1,0,9,1,0.0,0,0.0,0,0,0,0,0,0.1,6818,0,0,0,0,84,45,0,0,26,Swansea,Hull City,Burnley,Arsenal,Bournemouth,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3665,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2595,0,0,0,0,0,2,0,0,0,Swansea,Hull City,Burnley,Arsenal,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,-2,27,0.31034482758620696,7.21732157177225e-08,6.2790697674418605e-06,0,11197,4,17,0,0,0,0,0,6.3,392,-2,0,27,2,0.2,0,1.0,0,0,3,0,0,0.1,8969,0,107,0,0,1168,34,0,1,174,Leicester,Burnley,Liverpool,Hull City,Swansea,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,3,113,4.2,5.91549295774648e-07,1.59154929577465e-05,0,737233,3,25,0,0,0,4,0,15.9,24142,-4,0,113,4,0.8,0,5.7,9,0,9,0,9,8.1,680217,0,654,0,2,2183,9340,0,0,419,Liverpool,Man Utd,Leicester,Burnley,West Ham,2.1,3.5,5.9,6.1,2.7,4.1,3.5,5.9,2.5
Ashley,Barnes,FWD,BUR,4500000,2,59,0.6781609195402301,1.5070242656449598e-07,1.31111111111111e-05,0,152650,3,17,0,0,0,5,0,13.1,7400,0,0,59,0,0.7,0,3.3,7,0,4,0,2,3.3,273788,0,0,0,1,1211,12146,0,1,172,Tottenham,Stoke,Middlesbrough,Everton,Man Utd,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4
Antonio,Barragan,DEF,MID,4400000,1,58,2.8,6.36363636363636e-07,1.31818181818182e-05,0,97960,5,24,0,0,0,0,0,13.2,612,-1,0,58,1,0.1,0,0.5,8,0,5,0,0,0.7,104074,0,0,0,0,1811,691,0,0,373,Swansea,Hull City,Burnley,Arsenal,Bournemouth,2.3,2.4,3.2,3.6,5.4,2.7,2.2,3.5,2.9
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,121381,1,23,0,0,0,0,0,6.8,476,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.7,111723,0,120,0,0,1145,11,0,0,136,Middlesbrough,Tottenham,West Ham,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,2,60,2.4,5.454545454545451e-07,1.3636363636363601e-05,0,370583,8,25,0,0,0,2,0,13.6,3187,-1,0,60,1,0.5,0,2.0,3,0,7,0,1,3.5,380802,0,418,0,0,1797,1090,0,0,320,Liverpool,Man Utd,Leicester,Burnley,West Ham,1.2,1.4,2.7,2.9,1.2,1.7,1.4,2.8,1.2
Joey,Barton,MID,BUR,4400000,2,26,0.298850574712644,6.79205851619645e-08,5.90909090909091e-06,0,9777,3,9,0,0,0,1,0,5.8,988,-1,1,26,1,0.4,0,1.7,0,0,2,0,2,0.3,21295,0,0,0,0,655,296,-1,0,132,Tottenham,Stoke,Middlesbrough,Everton,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,1,29,0.33333333333333304,4.9751243781094504e-08,4.32835820895522e-06,0,10044,0,11,0,0,0,1,0,4.3,47,-3,0,29,3,0.0,0,0.3,1,0,1,0,2,0.0,6763,0,0,0,0,518,30,0,0,74,Middlesbrough,Tottenham,West Ham,Watford,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
