FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Callum,Hudson-Odoi,MID,CHE,4500000,0,0,0.0,0.0,0.0,0,66,0,0,0,0,0,0,0,0.0,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,95,0,0,0,0,0,21,0,0,0,Brighton,Bournemouth,Watford,West Brom,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will,Hughes,MID,WAT,4600000,0,26,1.1304347826087,2.45746691871456e-07,5.65217391304348e-06,0,70765,0,6,0,0,0,2,0,5.7,1545,-4,0,26,4,0.0,0,0.0,3,0,2,0,1,0.2,64459,0,0,0,1,323,54,0,0,89,Leicester,Stoke,Chelsea,West Ham,Everton,0.0,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,30.3
Uwe,Hunemeier,DEF,BHA,3900000,0,1,0.0434782608695652,1.11482720178372e-08,2.56410256410256e-07,0,359040,0,1,0,0,0,0,0,0.3,7602,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,6.1,308796,0,0,0,0,17,4304,0,0,5,Chelsea,Southampton,West Ham,Stoke,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Robert,Huth,DEF,LEI,4800000,0,0,0.0,0.0,0.0,0,4836,0,0,0,0,0,0,0,0.0,56,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1319,0,0,0,0,0,48,0,0,0,Watford,Everton,Swansea,Man City,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emerson,Hyndman,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,61,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,76,0,0,0,0,0,12,0,0,0,West Ham,Chelsea,Stoke,Huddersfield,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordon,Ibe,MID,BOU,4800000,9,52,2.5,5.20833333333333e-07,1.0833333333333301e-05,0,45700,1,22,0,0,0,1,0,10.8,2492,-2,0,52,2,0.8,0,4.0,2,0,2,0,4,0.7,54896,0,0,0,0,1291,16507,0,0,202,West Ham,Chelsea,Stoke,Huddersfield,Newcastle,1.6,1.4,2.2,1.7,2.3,1.6,1.8,2.5,1.7,2.2,1.2,1.8,1.8,2.5,1.7,112.5
Vicente,Iborra,MID,LEI,5800000,1,35,1.52173913043478,2.62368815592204e-07,6.03448275862069e-06,0,10364,0,15,0,0,0,1,0,6.0,175,-2,0,35,2,0.2,0,1.0,2,0,2,0,0,0.1,4195,0,0,0,0,1055,90,0,0,199,Watford,Everton,Swansea,Man City,Stoke,0.8,0.9,1.2,0.8,1.0,1.1,0.8,1.1,0.8,1.0,0.8,0.9,0.8,1.0,0.8,38.7
Zlatan,Ibrahimovic,FWD,MUN,9500000,0,5,0.21739130434782603,2.2883295194508e-08,5.263157894736841e-07,0,38124,0,2,0,0,0,0,0,0.5,512,-5,1,5,5,0.0,0,0.2,0,0,0,0,0,0.2,37627,0,0,0,0,102,68,-1,0,18,Burnley,Tottenham,Huddersfield,Newcastle,Chelsea,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.6
Kelechi,Iheanacho,FWD,LEI,6500000,0,10,0.43478260869565205,6.68896321070234e-08,1.53846153846154e-06,0,136688,1,5,0,0,0,0,0,1.5,457,-5,0,10,5,0.0,0,0.0,0,0,0,0,0,0.6,14276,0,0,0,0,254,856,0,0,25,Watford,Everton,Swansea,Man City,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Giannelli,Imbula,MID,STK,4500000,0,0,0.0,0.0,0.0,0,8302,0,0,0,0,0,0,0,0.0,36,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,967,0,0,0,0,0,2,0,0,0,Huddersfield,Watford,Bournemouth,Brighton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
