FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Carlos,De Pena,MID,MID,4200000,0,0,0.0,0.0,0.0,0,15414,0,0,0,0,0,0,0,0.0,184,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.2,15550,0,0,0,0,0,10,0,0,0,Arsenal,Bournemouth,Sunderland,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Marten,de Roon,MID,MID,4400000,0,73,2.7,6.13636363636364e-07,1.65909090909091e-05,0,115823,6,33,0,0,0,3,0,16.6,5744,-1,0,73,1,0.9,0,3.8,2,0,7,0,1,2.0,189126,0,0,0,1,2298,6811,0,0,338,Arsenal,Bournemouth,Sunderland,Man City,Chelsea,1.9,4.8,1.9,1.4,2.3,1.4
Julien,de Sart,MID,MID,4300000,0,0,0.0,0.0,0.0,0,3445,0,0,0,0,0,0,0,0.0,13,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,2415,0,0,0,0,0,2,0,0,0,Arsenal,Bournemouth,Sunderland,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4600000,0,1,0.0104166666666667,2.2644927536231896e-09,2.1739130434782601e-07,0,10576,0,0,0,0,0,0,0,0.2,26,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.2,2038,0,11,0,0,15,16,0,0,2,Middlesbrough,Leicester,Tottenham,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6900000,1,120,4.0,5.79710144927536e-07,1.73913043478261e-05,0,670978,6,47,0,0,0,10,0,17.4,17269,-1,0,120,1,0.4,0,3.0,18,0,5,0,4,7.2,777699,1,629,0,2,2527,27686,0,0,427,Swansea,Hull City,Liverpool,Leicester,Everton,5.6,4.1,5.8,3.6,5.7,5.1
Jermain,Defoe,FWD,SUN,7700000,2,150,4.8,6.23376623376623e-07,1.94805194805195e-05,0,1701021,1,55,0,0,0,14,0,19.5,51866,7,0,150,-7,0.3,0,2.0,24,0,5,0,3,20.0,2221686,0,595,0,6,2782,15969,0,0,484,West Ham,Middlesbrough,Bournemouth,Hull City,Swansea,6.7,4.8,6.7,5.5,11.7,4.2
Steven,Defour,MID,BUR,5600000,0,53,0.552083333333333,9.858630952380949e-08,9.46428571428571e-06,0,31255,1,13,0,0,0,1,0,9.5,74,-4,0,53,4,0.1,0,0.5,6,0,5,0,3,0.2,30809,0,0,0,0,1055,13,0,0,242,Everton,Man Utd,Crystal Palace,West Brom,Bournemouth,0.3,0.3,0.3,0.3,0.3,0.3
Damien,Delaney,DEF,CRY,4800000,1,48,1.9,3.9583333333333297e-07,1e-05,0,38029,7,34,0,0,0,0,0,10.0,239,-2,0,48,2,0.2,0,0.8,3,0,3,0,2,0.5,14693,0,366,0,1,1862,121,0,0,313,Leicester,Liverpool,Tottenham,Burnley,Man City,1.4,3.4,1.7,1.3,1.8,1.2
Fabian,Delph,MID,MCI,4700000,7,13,0.135416666666667,2.8812056737588705e-08,2.7659574468085098e-06,0,6915,1,4,0,0,0,1,0,2.8,74,-3,0,13,3,0.4,0,2.0,0,0,0,0,0,0.1,2819,0,156,0,0,224,1086,0,0,62,Southampton,Man Utd,Middlesbrough,Crystal Palace,Leicester,0.1,0.1,0.1,0.1,0.2,0.1
Mousa,Dembele,MID,TOT,5400000,3,60,0.625,1.1574074074074099e-07,1.11111111111111e-05,0,29268,5,16,0,0,0,0,0,11.1,1038,-1,0,60,1,0.6,0,3.0,5,0,10,0,2,0.5,36233,0,473,0,0,1763,889,0,0,383,Bournemouth,Crystal Palace,Arsenal,West Ham,Man Utd,0.3,0.3,0.3,0.3,0.6,0.3
