FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Ben,Watson,MID,WAT,4300000,0,12,1.5,3.48837209302326e-07,2.7906976744186e-06,0,17042,1,12,0,0,0,0,0,2.8,32,-2,0,12,2,0.0,0,0.0,0,0,0,0,0,0.1,15064,0,0,0,0,455,2,0,0,61,Newcastle,Man Utd,,,,0.0,0.0,13.1
Danny,Welbeck,FWD,ARS,7300000,1,67,2.7,3.6986301369863e-07,9.17808219178082e-06,0,225218,1,20,0,0,0,5,0,9.2,4911,-2,0,67,2,0.7,0,5.0,6,0,4,0,2,1.3,215373,0,0,0,2,1119,8370,0,0,240,Burnley,Leicester,Huddersfield,,,4.7,1.7,91.7
Nahki,Wells,FWD,BUR,4900000,0,7,0.19444444444444395,3.96825396825397e-08,1.4285714285714301e-06,0,6057,0,2,0,0,0,0,0,1.4,70,-1,0,7,1,0.0,0,0.2,0,0,0,0,0,0.1,4892,0,0,0,0,35,52,0,0,14,Arsenal,Bournemouth,,,,0.1,0.1,4.0
Ashley,Westwood,MID,BUR,4300000,3,27,0.75,1.74418604651163e-07,6.2790697674418605e-06,0,10157,2,10,0,0,0,0,0,6.3,359,-2,0,27,2,0.5,0,2.2,0,0,2,0,0,0.1,10417,0,0,0,0,925,159,0,0,152,Arsenal,Bournemouth,,,,0.4,0.4,34.4
Glenn,Whelan,MID,STK,4500000,0,0,0.0,0.0,0.0,0,862,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,145,0,0,0,0,0,5,0,0,0,Crystal Palace,Swansea,,,,0.0,0.0,0.0
Dean,Whitehead,MID,HUD,4200000,0,3,0.0857142857142857,2.04081632653061e-08,7.142857142857141e-07,0,9192,0,3,0,0,0,0,0,0.7,234,-3,0,3,3,0.0,0,0.0,0,0,0,0,0,0.1,8799,0,0,0,0,65,505,0,0,13,Man City,Chelsea,Arsenal,,,0.0,0.0,0.7
Alfie,Whiteman,GLK,TOT,4000000,0,0,0.0,0.0,0.0,0,4089,0,0,0,0,0,0,0,0.0,74,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,6569,0,0,0,0,0,43,0,0,0,West Brom,Newcastle,Leicester,,,0.0,0.0,0.0
Connor,Wickham,FWD,CRY,5400000,0,0,0.0,0.0,0.0,0,2208,0,0,0,0,0,0,0,0.0,17,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,1179,0,0,0,0,0,15,0,0,0,Stoke,West Brom,,,,0.0,0.0,0.0
Georginio,Wijnaldum,MID,LIV,6600000,3,80,2.6,3.93939393939394e-07,1.21212121212121e-05,0,273608,1,22,0,0,0,1,0,12.1,1155,-4,0,80,4,0.6,0,3.8,1,0,14,0,2,2.2,58922,0,0,0,0,2201,663,0,0,366,Chelsea,Brighton,,,,1.6,2.4,101.3
Ashley,Williams,DEF,EVE,5200000,0,56,2.3,4.4230769230769206e-07,1.0769230769230802e-05,0,294828,3,31,0,0,0,1,0,10.8,640,-3,0,56,3,0.0,0,0.0,3,0,5,0,0,2.1,142012,0,0,0,1,1830,117,0,1,332,Southampton,West Ham,,,,2.4,1.9,68.9
Danny,Williams,MID,HUD,4800000,0,28,1.4,2.9166666666666696e-07,5.83333333333333e-06,0,4031,2,22,0,0,0,0,0,5.8,5,-2,0,28,2,0.0,0,0.0,0,0,0,0,0,0.0,1350,0,0,0,0,1115,4,0,0,134,Man City,Chelsea,Arsenal,,,0.0,0.0,27.0
,Willian,MID,CHE,7100000,1,126,3.6,5.07042253521127e-07,1.7746478873239398e-05,0,1871236,1,18,0,0,0,6,0,17.7,74396,1,0,126,-1,0.3,0,1.8,13,0,9,0,8,13.8,1725564,0,0,0,3,1767,21794,0,0,499,Liverpool,Huddersfield,Newcastle,,,7.5,3.2,214.8
