FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast
Ezekiel,Fryers,DEF,CRY,4500000,0,9,0.0833333333333333,1.85185185185185e-08,2e-06,0,943,0,7,0,0,0,0,0,2.0,6,0,0,9,0,0.0,0,0.0,0,0,0,0,1,0.0,1061,0,0,0,0,188,7,0,0,38,Hull City,Man Utd,,,,0.0,0.0
Christian,Fuchs,DEF,LEI,5300000,8,103,3.1,5.849056603773579e-07,1.9433962264150897e-05,0,432495,9,48,0,0,0,2,0,19.4,5333,-2,0,103,2,1.0,0,5.3,10,0,8,0,4,5.6,214747,0,482,0,1,2833,11030,0,0,636,Man City,Tottenham,Bournemouth,,,6.3,4.2
Jay,Fulton,MID,SWA,4400000,0,19,0.175925925925926,3.9983164983165e-08,4.31818181818182e-06,0,1554,2,15,0,0,0,0,0,4.3,10,-1,0,19,1,0.1,0,0.5,0,0,3,0,0,0.0,1001,0,4,0,0,690,7,0,0,92,Sunderland,West Brom,,,,0.1,0.1
Ramiro,Funes Mori,DEF,EVE,4500000,0,69,3.0,6.66666666666667e-07,1.53333333333333e-05,0,210847,0,19,0,0,0,0,0,15.3,1809,-5,0,69,5,0.0,0,0.0,4,0,7,0,1,1.4,157025,0,304,0,0,1543,37,0,0,365,Watford,Arsenal,,,,0.0,0.0
Manolo,Gabbiadini,FWD,SOU,6600000,4,37,0.342592592592593,5.19079685746352e-08,5.60606060606061e-06,0,466115,1,12,0,0,0,4,0,5.6,34747,1,-1,37,-1,0.3,0,2.2,4,0,2,0,1,8.6,839382,0,0,0,1,637,27076,1,0,131,Middlesbrough,Man Utd,Stoke,,,0.4,0.2
,Gabriel,DEF,ARS,4800000,0,45,0.4166666666666671,8.68055555555556e-08,9.375e-06,0,92234,5,18,0,0,0,0,0,9.4,39418,-2,0,45,2,0.3,0,1.4,2,0,5,0,0,0.9,119346,0,244,0,0,1465,2688,0,0,291,Stoke,Sunderland,Everton,,,0.4,0.2
Brendan,Galloway,DEF,EVE,4000000,0,9,3.0,7.5e-07,2.25e-06,0,20019,0,3,0,0,0,0,0,2.3,191,-5,0,9,5,0.0,0,0.0,0,0,1,0,0,0.2,16331,0,126,0,0,247,16,0,0,44,Watford,Arsenal,,,,0.0,0.0
Cristian,Gamboa,DEF,WBA,4000000,0,0,0.0,0.0,0.0,0,29438,0,0,0,0,0,0,0,0.0,91,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,2012,0,0,0,0,0,4,0,0,0,Chelsea,Man City,Swansea,,,0.0,0.0
,Garcia,MID,MCI,5000000,0,4,0.037037037037037,7.407407407407409e-09,8e-07,0,626,0,2,0,0,0,0,0,0.8,8,0,0,4,0,0.1,0,0.3,0,0,0,0,0,0.0,607,0,0,0,0,77,13,0,0,25,Leicester,West Brom,Watford,,,0.0,0.0
Craig,Gardner,MID,WBA,5100000,0,14,1.6,3.13725490196078e-07,2.7450980392156897e-06,0,7440,1,6,0,0,0,0,0,2.7,7,-4,0,14,4,0.0,0,0.0,0,0,1,0,1,0.1,5106,0,244,0,0,218,5,0,0,52,Chelsea,Man City,Swansea,,,0.0,0.0
Florin,Gardos,DEF,SOU,4000000,0,0,0.0,0.0,0.0,0,5967,0,0,0,0,0,0,0,0.0,55,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,5847,0,0,0,0,0,45,0,0,0,Middlesbrough,Man Utd,Stoke,,,0.0,0.0
Paulo,Gazzaniga,GLK,SOU,4500000,0,0,0.0,0.0,0.0,0,333,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,147,0,15,0,0,0,1,0,0,0,Middlesbrough,Man Utd,Stoke,,,0.0,0.0
Rudy,Gestede,FWD,MID,4500000,1,20,0.185185185185185,4.11522633744856e-08,4.44444444444444e-06,0,10071,2,9,0,0,0,1,0,4.4,454,-5,1,20,5,0.2,0,0.8,0,0,1,0,0,0.1,13999,0,0,0,0,461,259,-1,0,75,Southampton,Liverpool,,,,0.1,0.1
Kieran,Gibbs,DEF,ARS,4700000,13,39,0.36111111111111105,7.683215130023639e-08,8.297872340425529e-06,0,25807,3,3,0,0,0,0,0,8.3,700,-3,0,39,3,0.9,0,4.4,3,0,5,0,1,1.7,66084,0,69,0,1,634,52071,0,0,174,Stoke,Sunderland,Everton,,,0.4,0.2
Ben,Gibson,DEF,MID,5000000,1,120,3.3,6.6e-07,2.4e-05,0,473800,3,48,0,0,0,1,0,24.0,45236,5,0,120,-5,0.4,0,2.0,14,0,11,0,1,9.1,797262,0,0,0,1,3240,1644,0,0,660,Southampton,Liverpool,,,,4.4,3.8
Darron,Gibson,MID,SUN,4300000,0,14,0.12962962962963,3.01464254952627e-08,3.2558139534883703e-06,0,6981,3,9,0,0,0,0,0,3.3,105,-2,0,14,2,0.2,0,0.8,0,0,1,0,0,0.1,4123,0,44,0,0,563,12,0,0,86,Swansea,Arsenal,Chelsea,,,0.0,0.1
Olivier,Giroud,FWD,ARS,8000000,7,98,3.6,4.5e-07,1.225e-05,0,727496,2,15,0,0,0,10,0,12.3,10940,-10,0,98,10,0.3,0,2.2,14,0,3,0,4,3.3,778671,0,629,0,2,1039,17558,0,0,364,Stoke,Sunderland,Everton,,,7.8,4.2
Shay,Given,GLK,STK,4200000,0,13,0.12037037037037,2.8659611992945296e-08,3.0952380952381e-06,0,25521,1,14,0,18,0,0,0,3.1,87,-3,0,13,3,0.0,0,0.0,3,0,0,0,0,0.4,20620,1,24,1,1,450,24,0,0,92,Arsenal,Southampton,,,,0.1,0.1
Serge,Gnabry,MID,ARS,5000000,0,0,0.0,0.0,0.0,0,1056,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,395,0,4,0,0,0,6,0,0,0,Stoke,Sunderland,Everton,,,0.0,0.0
Heurelho,Gomes,GLK,WAT,4900000,2,108,3.1,6.3265306122449e-07,2.2040816326530603e-05,0,100450,1,54,0,104,0,0,0,22.0,1282,-1,0,108,1,0.8,0,4.0,6,0,7,0,0,1.7,45935,1,375,1,1,3067,1265,0,0,627,Everton,Chelsea,Man City,,,4.3,3.4
Joseph,Gomez,DEF,LIV,4800000,0,0,0.0,0.0,0.0,0,1433,0,0,0,0,0,0,0,0.0,17,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,840,0,58,0,0,0,18,0,0,0,West Ham,Middlesbrough,,,,0.0,0.0
Bafetimbi,Gomis,FWD,SWA,6500000,0,0,0.0,0.0,0.0,0,1923,0,0,0,0,0,0,0,0.0,8,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,653,0,242,0,0,0,8,0,0,0,Sunderland,West Brom,,,,0.0,0.0
Lynden,Gooch,MID,SUN,4100000,0,10,0.0925925925925926,2.2583559168925e-08,2.4390243902438998e-06,0,9280,3,5,0,0,0,0,0,2.4,365,-4,0,10,4,0.0,0,0.0,0,0,1,0,0,0.2,13315,0,0,0,0,323,1385,0,0,38,Swansea,Arsenal,Chelsea,,,0.0,0.0
Dan,Gosling,MID,BOU,4700000,0,45,0.4166666666666671,8.865248226950359e-08,9.57446808510638e-06,0,12893,6,22,0,0,0,2,0,9.6,88,-3,0,45,3,0.1,0,0.3,1,0,4,0,0,0.1,8365,0,331,0,0,1266,17,0,0,229,Burnley,Leicester,,,,0.2,0.2
Lewis,Grabban,FWD,BOU,4300000,0,6,2.0,4.65116279069767e-07,1.3953488372093e-06,0,270368,0,2,0,0,0,0,0,1.4,1597,-2,0,6,2,0.0,0,0.0,0,0,0,0,1,2.9,193522,0,124,0,0,60,251,0,0,17,Burnley,Leicester,,,,0.0,0.0
Max,Gradel,MID,BOU,5000000,0,8,0.0740740740740741,1.48148148148148e-08,1.6e-06,0,13416,3,1,0,0,0,0,0,1.6,7,-5,0,8,5,0.1,0,0.3,0,0,0,0,0,0.1,1163,0,155,0,0,134,5,0,0,24,Burnley,Leicester,,,,0.0,0.0
Lee,Grant,GLK,STK,4300000,0,106,3.8,8.837209302325581e-07,2.46511627906977e-05,0,276925,1,34,0,91,0,0,0,24.7,46578,3,1,106,-3,0.1,0,0.5,9,0,9,0,0,6.8,533047,0,0,0,3,2520,1147,-1,0,546,Arsenal,Southampton,,,,5.6,4.3
Andre,Gray,FWD,BUR,6000000,1,102,3.4,5.66666666666667e-07,1.7e-05,0,761436,2,30,0,0,0,9,0,17.0,10598,-5,0,102,5,0.4,0,2.3,10,0,8,0,2,4.1,483541,0,0,0,1,2138,1543,0,0,285,Bournemouth,West Ham,,,,2.8,4.2
Demarai,Gray,MID,LEI,4800000,1,56,0.5185185185185179,1.08024691358025e-07,1.1666666666666698e-05,0,57602,1,17,0,0,0,1,0,11.7,508,-2,0,56,2,0.2,0,0.8,0,0,4,0,4,0.6,42518,0,57,0,0,995,203,0,0,204,Man City,Tottenham,Bournemouth,,,0.6,0.3
