FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Ryan,Bertrand,DEF,SOU,5500000,6,106,4.6,8.36363636363636e-07,1.9272727272727302e-05,0,120939,2,32,0,0,0,2,0,19.3,2136,0,0,106,0,0.7,0,3.8,8,0,10,0,5,3.4,219099,0,415,0,2,2057,24682,0,0,475,Hull City,Liverpool,Arsenal,Middlesbrough,Man Utd,6.7,12.3,9.8,6.8
Muhamed,Besic,MID,EVE,4300000,0,0,0.0,0.0,0.0,0,1479,0,0,0,0,0,0,0,0.0,20,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.0,857,0,75,0,0,0,29,0,0,0,Chelsea,Swansea,Watford,Arsenal,,0.0,0.0,0.0,0.0
Daley,Blind,DEF,MUN,5200000,14,95,4.5,8.653846153846149e-07,1.8269230769230803e-05,0,467848,2,14,0,0,0,1,0,18.3,1816,-3,0,95,3,0.5,0,2.7,14,0,9,0,2,4.8,500502,0,477,0,2,1650,22029,0,0,493,Swansea,Arsenal,Tottenham,Southampton,Crystal Palace,5.7,5.8,10.6,5.7
Hiram,Boateng,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,705,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,563,0,0,0,0,0,1,0,0,0,Burnley,Man City,Hull City,Man Utd,,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,109869,1,12,0,0,0,3,0,5.5,85,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46615,0,360,0,0,475,7,0,0,93,West Ham,Bournemouth,Arsenal,Southampton,,0.0,0.0,0.0,0.0
Yannick,Bolasie,MID,EVE,5700000,0,45,3.2,5.6140350877193e-07,7.89473684210526e-06,0,420530,3,14,0,0,0,1,0,7.9,202,-3,0,45,3,0.0,0,0.0,3,0,3,0,4,1.7,292977,0,469,0,0,1048,17,0,0,172,Chelsea,Swansea,Watford,Arsenal,,0.0,0.0,0.0,0.0
Wilfried,Bony,FWD,STK,6900000,0,29,0.28431372549019607,4.12048877522023e-08,4.20289855072464e-06,0,131478,1,12,0,0,0,2,0,4.2,89,-6,0,29,6,0.0,0,0.0,3,0,3,0,0,0.6,113751,0,249,0,1,684,35,0,0,92,West Ham,Bournemouth,Arsenal,Southampton,,0.1,0.1,0.1,0.1
Fabio,Borini,FWD,SUN,5100000,1,41,2.2,4.313725490196079e-07,8.03921568627451e-06,0,87677,3,24,0,0,0,2,0,8.0,704,-4,0,41,4,0.5,0,2.6,3,0,4,0,0,0.6,31057,0,280,0,0,1292,657,0,0,147,Bournemouth,Hull City,Swansea,Arsenal,Chelsea,2.3,1.6,3.7,1.1
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0.0,0.0,0.0,0,3067,0,0,0,0,0,0,0,0.0,5,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,128,0,123,0,0,0,1,0,0,0,Swansea,Arsenal,Tottenham,Southampton,Crystal Palace,0.0,0.0,0.0,0.0
Artur,Boruc,GLK,BOU,4500000,6,110,3.4,7.555555555555559e-07,2.4444444444444398e-05,0,261072,2,60,0,106,0,0,0,24.4,2931,0,0,110,0,1.0,0,4.6,7,0,8,0,0,6.3,296245,0,281,2,2,2880,14082,0,0,604,Sunderland,Stoke,Burnley,Leicester,,2.6,4.7,4.2,2.0
