FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
Daryl,Janmaat,DEF,WAT,4500000,2,42,0.4,8.888888888888891e-08,9.33333333333333e-06,0,17182,1,22,0,0,0,1,0,9.3,180,-5,0,42,5,0.4,0,2.0,0,0,2,0,1,0.1,19804,0,0,0,0,1306,379,0,0,208,Leicester,Everton,Chelsea,Man City,,0.2,0.4,0.2
Vincent,Janssen,FWD,TOT,7500000,0,52,2.2,2.93333333333333e-07,6.93333333333333e-06,0,115974,0,8,0,0,0,2,0,6.9,178,-5,0,52,5,0.3,0,2.2,3,0,3,0,3,0.8,64757,0,0,0,0,802,86,0,0,121,West Ham,Man Utd,Leicester,Hull City,,1.4,3.1,1.5
Adnan,Januzaj,MID,SUN,5300000,0,46,2.0,3.77358490566038e-07,8.679245283018871e-06,0,57424,3,36,0,0,0,0,0,8.7,89,-2,0,46,2,0.1,0,0.4,0,0,3,0,3,0.5,37809,0,33,0,0,1558,13,0,1,144,Hull City,Swansea,Arsenal,Chelsea,,1.2,2.6,1.0
Mile,Jedinak,MID,CRY,4500000,0,2,2.0,4.44444444444444e-07,4.44444444444444e-07,0,25953,0,1,0,0,0,0,0,0.4,5,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.1,1377,0,118,0,0,90,4,0,0,8,Man City,Hull City,Man Utd,,,0.0,0.0,0.0
Carl,Jenkinson,DEF,ARS,4800000,0,2,0.019047619047619,3.9682539682539705e-09,4.1666666666666704e-07,0,10006,0,1,0,0,0,0,0,0.4,3,-2,0,2,2,0.0,0,0.0,0,0,0,0,0,0.1,9702,0,178,0,0,82,5,0,0,12,Man Utd,Southampton,Stoke,Sunderland,Everton,0.0,0.0,0.0
,Jesus,FWD,MCI,8700000,6,32,0.304761904761905,3.50301039956212e-08,3.67816091954023e-06,0,432887,2,3,0,0,0,4,0,3.7,1388,-3,-1,32,3,0.1,0,1.2,6,0,1,0,1,4.0,602249,0,0,0,2,298,111582,1,0,110,Crystal Palace,Leicester,West Brom,Watford,,0.2,0.4,0.2
,Joe Williams,MID,EVE,4500000,0,0,0.0,0.0,0.0,0,28,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,66,0,0,0,0,0,11,0,0,0,Swansea,Watford,Arsenal,,,0.0,0.0,0.0
,Joel Pereira,GLK,MUN,4000000,0,0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,129,0,0,0,0,0,21,0,0,0,Arsenal,Tottenham,Southampton,Crystal Palace,,0.0,0.0,0.0
Glen,Johnson,DEF,STK,4700000,6,55,2.6,5.53191489361702e-07,1.17021276595745e-05,0,19987,1,28,0,0,0,0,0,11.7,42,-3,0,55,3,0.4,0,2.0,3,0,6,0,0,0.1,14320,0,324,0,0,1777,83,0,0,358,Bournemouth,Arsenal,Southampton,,,2.2,3.5,2.3
,Jonathan Benteke,FWD,CRY,4300000,0,1,1.0,2.3255813953488398e-07,2.3255813953488398e-07,0,31582,0,0,0,0,0,0,0,0.2,459,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.4,40850,0,0,0,0,7,418,0,0,3,Man City,Hull City,Man Utd,,,0.0,0.0,0.0
